Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_FI-SW-01""))",Edge Chromium 122,,,03-03-2024 18:12:05,03-03-2024 18:12:06,0.546s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 122,,,03-03-2024 18:12:06,03-03-2024 18:12:38,31.884s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/input_Need a user name and password_password""))",Edge Chromium 122,,,03-03-2024 18:12:38,03-03-2024 18:13:11,33.264s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/DogQuickLink""))",Edge Chromium 122,,,03-03-2024 18:13:11,03-03-2024 18:13:12,0.652s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_K9-RT-01""))",Edge Chromium 122,,,03-03-2024 18:13:12,03-03-2024 18:13:12,0.629s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Add to Cart_1""))",Edge Chromium 122,,,03-03-2024 18:13:12,03-03-2024 18:13:13,0.578s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Remove""))",Edge Chromium 122,,,03-03-2024 18:13:13,03-03-2024 18:13:13,0.593s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/input_Need a user name and password_password""))",Edge Chromium 122,,,03-03-2024 18:13:13,03-03-2024 18:13:47,33.610s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Return to Main Menu""))",Edge Chromium 122,,,03-03-2024 18:13:47,03-03-2024 18:13:48,0.545s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/img_Sign Out_img_cart""))",Edge Chromium 122,,,03-03-2024 18:13:48,03-03-2024 18:13:48,0.534s,PASSED
closeBrowser(),Edge Chromium 122,,,03-03-2024 18:13:48,03-03-2024 18:13:49,1.088s,PASSED
Start listener action : sampleAfterTestCase,Edge Chromium 122,,,03-03-2024 18:13:49,03-03-2024 18:13:49,0.002s,PASSED
